"name"	"ID"	"CntrUS_vs_CntrStim_p.val"	"FarnStim_vs_CntrStim_p.val"	"FarnStim_vs_CntrUS_p.val"	"FarnStim_vs_GeraStim_p.val"	"FarnStim_vs_GeraUS_p.val"	"FarnUS_vs_CntrStim_p.val"	"FarnUS_vs_CntrUS_p.val"	"FarnUS_vs_FarnStim_p.val"	"FarnUS_vs_GeraStim_p.val"	"FarnUS_vs_GeraUS_p.val"	"GeraStim_vs_CntrStim_p.val"	"GeraStim_vs_CntrUS_p.val"	"GeraUS_vs_CntrStim_p.val"	"GeraUS_vs_CntrUS_p.val"	"GeraUS_vs_GeraStim_p.val"	"CntrUS_vs_CntrStim_p.adj"	"FarnStim_vs_CntrStim_p.adj"	"FarnStim_vs_CntrUS_p.adj"	"FarnStim_vs_GeraStim_p.adj"	"FarnStim_vs_GeraUS_p.adj"	"FarnUS_vs_CntrStim_p.adj"	"FarnUS_vs_CntrUS_p.adj"	"FarnUS_vs_FarnStim_p.adj"	"FarnUS_vs_GeraStim_p.adj"	"FarnUS_vs_GeraUS_p.adj"	"GeraStim_vs_CntrStim_p.adj"	"GeraStim_vs_CntrUS_p.adj"	"GeraUS_vs_CntrStim_p.adj"	"GeraUS_vs_CntrUS_p.adj"	"GeraUS_vs_GeraStim_p.adj"	"CntrUS_vs_CntrStim_significant"	"FarnStim_vs_CntrStim_significant"	"FarnStim_vs_CntrUS_significant"	"FarnStim_vs_GeraStim_significant"	"FarnStim_vs_GeraUS_significant"	"FarnUS_vs_CntrStim_significant"	"FarnUS_vs_CntrUS_significant"	"FarnUS_vs_FarnStim_significant"	"FarnUS_vs_GeraStim_significant"	"FarnUS_vs_GeraUS_significant"	"GeraStim_vs_CntrStim_significant"	"GeraStim_vs_CntrUS_significant"	"GeraUS_vs_CntrStim_significant"	"GeraUS_vs_CntrUS_significant"	"GeraUS_vs_GeraStim_significant"	"significant"	"CntrUS_vs_CntrStim_ratio"	"FarnStim_vs_CntrStim_ratio"	"FarnStim_vs_CntrUS_ratio"	"FarnStim_vs_GeraStim_ratio"	"FarnStim_vs_GeraUS_ratio"	"FarnUS_vs_CntrStim_ratio"	"FarnUS_vs_CntrUS_ratio"	"FarnUS_vs_FarnStim_ratio"	"FarnUS_vs_GeraStim_ratio"	"FarnUS_vs_GeraUS_ratio"	"GeraStim_vs_CntrStim_ratio"	"GeraStim_vs_CntrUS_ratio"	"GeraUS_vs_CntrStim_ratio"	"GeraUS_vs_CntrUS_ratio"	"GeraUS_vs_GeraStim_ratio"	"CntrStim_centered"	"CntrUS_centered"	"FarnStim_centered"	"FarnUS_centered"	"GeraStim_centered"	"GeraUS_centered"
"LITAF"	"Q99732"	0.388864287933483	1.73384494553147e-11	3.39367311034467e-12	0.000119269818037387	0.0115104341672102	4.26747517215422e-09	6.2886339694524e-10	0.0133451458933123	1.31790800850761e-07	1.27863073338617e-05	8.58849501372857e-15	2.41380312684344e-15	1.42297947790925e-13	3.52244644030706e-14	0.0825397040188067	0.88	2.09e-07	2.74e-06	0.593	0.837	0.0161	3.13e-07	0.465	0.321	0.61	0.0028	0.000741	0.0441	0.00383	0.738	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.25	3.23	3.48	-1.29	-0.777	2.47	2.72	-0.759	-2.05	-1.54	4.52	4.77	4.01	4.26	-0.516	-2.33	-2.58	0.9	0.141	2.19	1.68
"LMF2"	"Q9BU23"	0.000475017140939678	2.61463805367019e-13	4.73978666098262e-10	1.63373966733561e-08	7.89430458090544e-09	3.43675729209468e-13	6.70299616458288e-10	0.871474520538075	1.12015934120396e-08	5.44988582882174e-09	4.34295534804002e-18	5.96914842347514e-16	3.04787471571022e-18	3.91035276114055e-16	0.754325655653814	0.24	7.65e-11	0.000562	0.0594	0.0984	7.62e-06	3.44e-07	0.918	0.187	0.0781	5.87e-06	0.000311	8.46e-05	0.000226	0.912	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1.45	4.94	3.49	-2.91	-3.03	4.88	3.43	-0.0591	-2.97	-3.09	7.85	6.41	7.97	6.52	0.114	-4.51	-3.07	0.424	0.365	3.34	3.45
"LMNB1"	"P20700"	0.67379676967533	1.65050054154538e-20	2.44486311846624e-20	1.96521608968586e-20	8.69176164994598e-20	7.78502879126998e-23	1.07269174018653e-22	7.54538018003453e-07	8.97720031824294e-23	3.0021328791578e-22	0.85087368894725	0.815385142168691	0.090565059759695	0.194346164870832	0.12898064229952	0.906	4.87e-14	8.42e-14	1.9e-13	2.34e-13	8.33e-14	3.85e-14	0.00105	2.37e-13	1.61e-13	0.935	0.906	0.918	0.935	0.785	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.0719	4.59	4.52	4.56	4.3	5.69	5.62	1.09	5.66	5.39	0.0321	-0.0398	0.297	0.225	0.265	-1.78	-1.71	2.81	3.91	-1.75	-1.48
"LMNB2"	"Q03252"	0.614611553504735	3.03349361761405e-18	1.73107383253951e-18	1.41028350950538e-18	3.60633368404017e-18	1.42347085135428e-19	8.62224068096447e-20	0.0073088298100393	7.17737037707145e-20	1.66110786949049e-19	0.491094883296566	0.851682057237514	0.877992213062492	0.512129020974413	0.401198137808993	0.902	4.87e-14	8.42e-14	1.9e-13	2.81e-11	8.33e-14	3.85e-14	0.377	5.69e-13	1.61e-13	0.927	0.907	0.941	0.945	0.876	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.107	4.61	4.72	4.76	4.58	5.22	5.33	0.609	5.37	5.19	-0.146	-0.0395	0.0324	0.139	0.179	-1.6	-1.71	3.01	3.62	-1.75	-1.57
"LPCAT3"	"Q6P1A2"	0.0311271462490996	5.07402505586167e-06	0.00192563405185626	2.61864741370811e-10	3.6683628429398e-12	6.14247311062791e-06	0.00231873405083232	0.941752238602706	2.24779160037025e-10	3.20890830222469e-12	1.08538742138055e-14	4.05780329788817e-13	4.86798044900616e-16	1.22840865206221e-14	0.037191028749244	0.69	0.0463	0.586	0.00721	0.00226	0.241	0.308	0.922	0.0614	0.00166	0.0032	0.0128	0.00343	0.00212	0.638	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.617	1.55	0.934	-2.69	-3.28	1.53	0.914	-0.02	-2.71	-3.3	4.24	3.62	4.83	4.22	0.594	-2.13	-1.51	-0.578	-0.598	2.11	2.71
"LRRFIP1"	"Q32MZ4"	0.443964778788287	3.51820205025477e-10	1.8607194137684e-09	4.13706837285589e-15	1.99593405192569e-14	2.37019909703618e-14	8.01235070789425e-14	1.34296332284477e-05	4.4831190631374e-18	1.52436981595136e-17	6.61170877412445e-07	9.72381097370289e-08	1.00177332050256e-05	1.35244221387077e-06	0.298634159104065	0.887	1.4e-05	0.00155	8.36e-08	2.93e-05	1.93e-07	3.85e-14	0.0119	4.75e-09	1.74e-10	0.568	0.364	0.768	0.645	0.856	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.162	2.05	1.88	3.41	3.19	3.17	3	1.12	4.53	4.31	-1.36	-1.53	-1.14	-1.3	0.221	-0.478	-0.316	1.57	2.69	-1.84	-1.62
"MAPKAPK3"	"Q16644"	0.0012895370141768	1.04441077171942e-10	3.5427947791848e-07	1.51465707419821e-07	4.58914528359002e-07	4.43569741085599e-11	1.23241515026157e-07	0.670901115742707	5.36678809482958e-08	1.58785768540519e-07	0.00307842553944727	0.732780286868663	0.000988253797012254	0.917982180609887	0.657082544764303	0.33	2.98e-06	0.0405	0.129	0.269	0.000867	0.000378	0.904	0.268	0.246	0.854	0.904	0.864	0.951	0.905	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1.62	4.67	3.05	3.21	3	4.87	3.24	0.193	3.4	3.2	1.47	-0.155	1.67	0.0468	0.202	-2.38	-0.76	2.29	2.48	-0.915	-0.713
"MINOS1"	"Q5TGZ0"	0.0012839677487002	4.4129006668864e-06	0.0390510760761544	0.728471418275144	0.663913416746577	8.69938442020127e-06	0.066975357136016	0.795573067483533	0.545419214351252	0.489371814046433	1.79204034251409e-06	0.0180560021944228	1.42994206638898e-06	0.0147466681096108	0.930077390363763	0.329	0.0431	0.798	0.943	0.928	0.261	0.739	0.913	0.938	0.957	0.619	0.835	0.705	0.906	0.922	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1.65	2.64	0.992	-0.16	-0.201	2.52	0.873	-0.119	-0.28	-0.32	2.8	1.15	2.84	1.19	0.0404	-2.08	-0.427	0.565	0.446	0.726	0.766
"MT-ATP6"	"P00846"	5.03004998107646e-07	4.75474903877785e-15	5.42086798419937e-10	2.63607676605385e-10	1.10606929906474e-10	1.19959808464521e-14	2.10267237760547e-09	0.535670627980946	7.34434515785741e-11	3.18330398734984e-11	4.33436341316405e-20	5.72528953508613e-17	2.90626251318519e-20	3.40346092285356e-17	0.675073400141689	0.00741	4.87e-14	0.00062	0.00724	0.017	7.33e-08	2.01e-06	0.891	0.0407	0.00705	1.03e-08	4.4e-05	4.81e-07	2.32e-05	0.906	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1.85	4.52	2.67	-2.77	-2.89	4.35	2.5	-0.175	-2.94	-3.06	7.29	5.44	7.41	5.56	0.118	-4.24	-2.39	0.286	0.111	3.05	3.17
"MT-CO3"	"P00414"	0.000608894102747241	1.61797487478107e-09	2.1136906596274e-05	0.00011611307811058	6.43305583365231e-06	7.40894185669626e-11	4.78631861140525e-07	0.152183629527566	0.00509315489423279	0.000307131927903663	2.7639491743256e-13	4.15591142398541e-10	4.62598602669765e-14	4.39865511235306e-11	0.279600658173694	0.261	7.95e-05	0.211	0.591	0.431	0.00127	0.00154	0.795	0.856	0.794	0.0165	0.14	0.0283	0.0929	0.851	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0.935	2.18	1.24	-1.09	-1.35	2.53	1.6	0.353	-0.734	-0.998	3.26	2.33	3.53	2.59	0.265	-2.07	-1.14	0.105	0.458	1.19	1.46
