"name"	"ID"	"CntrUS_vs_CntrStim_p.val"	"FarnStim_vs_CntrStim_p.val"	"FarnStim_vs_CntrUS_p.val"	"FarnStim_vs_GeraStim_p.val"	"FarnStim_vs_GeraUS_p.val"	"FarnUS_vs_CntrStim_p.val"	"FarnUS_vs_CntrUS_p.val"	"FarnUS_vs_FarnStim_p.val"	"FarnUS_vs_GeraStim_p.val"	"FarnUS_vs_GeraUS_p.val"	"GeraStim_vs_CntrStim_p.val"	"GeraStim_vs_CntrUS_p.val"	"GeraUS_vs_CntrStim_p.val"	"GeraUS_vs_CntrUS_p.val"	"GeraUS_vs_GeraStim_p.val"	"CntrUS_vs_CntrStim_p.adj"	"FarnStim_vs_CntrStim_p.adj"	"FarnStim_vs_CntrUS_p.adj"	"FarnStim_vs_GeraStim_p.adj"	"FarnStim_vs_GeraUS_p.adj"	"FarnUS_vs_CntrStim_p.adj"	"FarnUS_vs_CntrUS_p.adj"	"FarnUS_vs_FarnStim_p.adj"	"FarnUS_vs_GeraStim_p.adj"	"FarnUS_vs_GeraUS_p.adj"	"GeraStim_vs_CntrStim_p.adj"	"GeraStim_vs_CntrUS_p.adj"	"GeraUS_vs_CntrStim_p.adj"	"GeraUS_vs_CntrUS_p.adj"	"GeraUS_vs_GeraStim_p.adj"	"CntrUS_vs_CntrStim_significant"	"FarnStim_vs_CntrStim_significant"	"FarnStim_vs_CntrUS_significant"	"FarnStim_vs_GeraStim_significant"	"FarnStim_vs_GeraUS_significant"	"FarnUS_vs_CntrStim_significant"	"FarnUS_vs_CntrUS_significant"	"FarnUS_vs_FarnStim_significant"	"FarnUS_vs_GeraStim_significant"	"FarnUS_vs_GeraUS_significant"	"GeraStim_vs_CntrStim_significant"	"GeraStim_vs_CntrUS_significant"	"GeraUS_vs_CntrStim_significant"	"GeraUS_vs_CntrUS_significant"	"GeraUS_vs_GeraStim_significant"	"significant"	"CntrUS_vs_CntrStim_ratio"	"FarnStim_vs_CntrStim_ratio"	"FarnStim_vs_CntrUS_ratio"	"FarnStim_vs_GeraStim_ratio"	"FarnStim_vs_GeraUS_ratio"	"FarnUS_vs_CntrStim_ratio"	"FarnUS_vs_CntrUS_ratio"	"FarnUS_vs_FarnStim_ratio"	"FarnUS_vs_GeraStim_ratio"	"FarnUS_vs_GeraUS_ratio"	"GeraStim_vs_CntrStim_ratio"	"GeraStim_vs_CntrUS_ratio"	"GeraUS_vs_CntrStim_ratio"	"GeraUS_vs_CntrUS_ratio"	"GeraUS_vs_GeraStim_ratio"	"CntrStim_centered"	"CntrUS_centered"	"FarnStim_centered"	"FarnUS_centered"	"GeraStim_centered"	"GeraUS_centered"
"SLC2A3"	"P11169"	0.999204719846662	5.90219380219545e-06	5.886805842935e-06	8.4072924443993e-09	3.64340415902824e-09	2.90803983619802e-05	2.90036252691628e-05	0.546910555373237	2.13546069179389e-09	9.53420664367869e-10	1.40937766383547e-13	1.40706094589531e-13	7.74689182829587e-14	7.73441410898063e-14	0.714516990847868	0.939	0.0584	0.181	0.0389	0.0736	0.385	0.034	0.887	0.141	0.0397	0.0159	0.00982	0.038	0.00595	0.921	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.00019	1.07	1.07	-1.57	-1.64	0.954	0.954	-0.115	-1.69	-1.76	2.64	2.64	2.71	2.71	0.0697	-1.23	-1.23	-0.16	-0.275	1.41	1.48
"SLC30A1"	"Q9Y6M5"	0.568909325333319	7.33175213922791e-07	1.74740788261665e-07	0.177631346258236	0.604500497653257	4.55890323700141e-06	1.04019783951385e-06	0.480697265492304	0.0455176345608473	0.226166184541244	2.50779302431727e-08	6.6140105505823e-09	1.98858917188654e-07	4.91686673925168e-08	0.396865395468611	0.92	0.0179	0.0425	0.909	0.926	0.263	0.00286	0.879	0.914	0.947	0.42	0.271	0.632	0.429	0.892	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.194	2.19	2.38	-0.467	-0.177	1.94	2.14	-0.241	-0.708	-0.418	2.65	2.85	2.36	2.56	-0.29	-1.49	-1.69	0.694	0.453	1.16	0.87
"SLC44A1"	"Q8WWI5"	0.470303256106078	1.12553050047464e-17	4.83768043871962e-18	2.23792445894628e-07	3.91208761368991e-11	1.8384782366115e-18	8.33748702852182e-19	0.121603952018679	1.32033115366603e-05	1.05967377261797e-09	9.05228052544249e-21	4.72351481561958e-21	3.32976134953767e-22	1.87338412235276e-22	0.000591840236136566	0.913	4.64e-14	7.23e-14	0.134	0.00967	7.13e-14	3.41e-14	0.762	0.67	0.0415	1.96e-09	8.1e-11	3.11e-10	4.75e-13	0.173	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.164	4.66	4.83	-1.56	-2.43	5.02	5.18	0.358	-1.2	-2.07	6.22	6.38	7.09	7.26	0.875	-3.81	-3.97	0.857	1.21	2.41	3.29
"SLC44A2"	"Q8IWA5"	0.694995192829344	3.00670470605659e-07	8.10284753865507e-07	0.000105912394983449	5.21914531248815e-05	1.04481802527796e-05	2.95105447902921e-05	0.175925617579	2.792567967509e-06	1.40363534262348e-06	1.383578283531e-11	2.96555968827933e-11	8.33412059555655e-12	1.76469568847573e-11	0.790117666183063	0.927	0.0101	0.0861	0.56	0.588	0.317	0.0343	0.799	0.578	0.437	0.0872	0.0796	0.148	0.0644	0.925	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.205	3.54	3.33	-2.36	-2.5	2.82	2.61	-0.719	-3.08	-3.22	5.9	5.69	6.04	5.83	0.139	-3.08	-2.88	0.454	-0.265	2.82	2.95
"SLC7A5"	"Q01650"	0.000303396672339781	0.00609413780487169	1.3940128351922e-07	0.000117619400485998	0.0482879888212261	0.375221219088914	2.83379998158047e-05	0.0470805326835791	5.31160647343291e-07	0.000312819111274927	5.82184930523968e-08	8.27477439835856e-12	2.92226109795336e-05	1.1718878573307e-09	0.0209952931057235	0.261	0.603	0.0384	0.568	0.875	0.9	0.0336	0.643	0.463	0.795	0.472	0.0538	0.798	0.198	0.612	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-1.91	1.37	3.27	-2.07	-0.948	0.413	2.32	-0.954	-3.03	-1.9	3.44	5.35	2.31	4.22	-1.12	-0.938	-2.85	0.429	-0.525	2.5	1.38
"SMIM12"	"Q96EX1"	0.0579952067726192	1.73807576423784e-10	1.31536079806502e-08	6.91638210144411e-05	1.12168924420667e-05	1.71889334261882e-09	1.72253957807079e-07	0.290118676747026	4.10615933979455e-06	7.00604160687009e-07	3.62996421029411e-14	9.56615107858975e-13	1.2551546991048e-14	2.92639130396095e-13	0.494419030633551	0.803	9.3e-06	0.0108	0.525	0.48	0.0148	5e-04	0.843	0.603	0.377	0.00892	0.0236	0.0176	0.0116	0.904	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.713	3.64	2.93	-1.7	-1.95	3.25	2.54	-0.388	-2.09	-2.34	5.34	4.63	5.59	4.88	0.249	-3.09	-2.38	0.552	0.163	2.25	2.5
"SMIM13"	"P0DJ93"	0.518009760872337	3.24672243479037e-13	9.97787821328317e-13	0.000287427860916337	0.509511271169342	2.49505657219409e-07	1.28942410667494e-06	5.60626944514335e-07	4.69043463214317e-11	1.07646332580921e-07	5.90648452071829e-16	1.4518413779526e-15	1.07662118841228e-13	3.17399527187465e-13	0.00161692072158934	0.917	2.89e-10	1.89e-06	0.635	0.923	0.117	0.00342	0.000627	0.0425	0.226	0.000761	0.000783	0.0425	0.012	0.255	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.177	3.65	3.47	-1.13	-0.181	1.87	1.69	-1.78	-2.91	-1.96	4.78	4.61	3.83	3.65	-0.951	-2.39	-2.21	1.27	-0.516	2.4	1.45
"SMPD2"	"O60906"	0.00665915377848344	0.0075956513487305	3.76285105642272e-06	2.55019940285728e-07	4.9792976927635e-06	0.0104013219861958	5.2996829724281e-06	0.895653521772959	1.84064893383161e-07	3.53627774314829e-06	3.42661297821003e-10	1.19183279447163e-12	4.36926630654288e-09	1.00454929007012e-11	0.251499454528371	0.599	0.625	0.157	0.139	0.42	0.777	0.011	0.915	0.384	0.515	0.198	0.0257	0.429	0.0534	0.865	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	-0.73	0.717	1.45	-1.71	-1.42	0.684	1.41	-0.0328	-1.74	-1.45	2.43	3.16	2.14	2.87	-0.29	-0.872	-1.6	-0.156	-0.188	1.55	1.26
"SNAP23"	"O00161"	0.524648677212724	6.14069321880596e-09	1.46268429897438e-09	0.0409396102434898	0.81869856366569	5.45582882219882e-05	1.00537535714777e-05	0.00113513285979311	4.11263636888727e-06	0.00204473197876069	6.31449165997958e-11	1.79162197331773e-11	1.04175607851135e-08	2.43285324241528e-09	0.0248017569691884	0.917	0.000438	0.00259	0.872	0.932	0.426	0.0176	0.177	0.603	0.86	0.134	0.0688	0.48	0.233	0.635	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-0.128	1.69	1.82	-0.428	0.0461	0.959	1.09	-0.728	-1.16	-0.682	2.12	2.24	1.64	1.77	-0.474	-1.05	-1.17	0.642	-0.0865	1.07	0.595
"SPDL1"	"Q96EA4"	0.0251390150206336	0.0273592900260364	7.22930859666243e-05	4.28989404555849e-06	3.0979775793126e-06	6.58685294420933e-05	1.49492434053784e-07	0.0232423783651586	1.15114192082274e-08	8.61637303708115e-09	0.00190431036267026	0.29017481809854	0.00138245325532163	0.238716490340201	0.90054598189519	0.737	0.738	0.372	0.292	0.384	0.442	0.000429	0.537	0.216	0.092	0.859	0.895	0.869	0.933	0.931	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	-1.17	1.15	2.32	2.85	2.91	2.33	3.5	1.19	4.03	4.09	-1.7	-0.53	-1.76	-0.592	-0.062	0.191	-0.977	1.34	2.52	-1.51	-1.57
