"name"	"ID"	"CntrUS_vs_CntrStim_p.val"	"FarnStim_vs_CntrStim_p.val"	"FarnStim_vs_CntrUS_p.val"	"FarnStim_vs_GeraStim_p.val"	"FarnStim_vs_GeraUS_p.val"	"FarnUS_vs_CntrStim_p.val"	"FarnUS_vs_CntrUS_p.val"	"FarnUS_vs_FarnStim_p.val"	"FarnUS_vs_GeraStim_p.val"	"FarnUS_vs_GeraUS_p.val"	"GeraStim_vs_CntrStim_p.val"	"GeraStim_vs_CntrUS_p.val"	"GeraUS_vs_CntrStim_p.val"	"GeraUS_vs_CntrUS_p.val"	"GeraUS_vs_GeraStim_p.val"	"CntrUS_vs_CntrStim_p.adj"	"FarnStim_vs_CntrStim_p.adj"	"FarnStim_vs_CntrUS_p.adj"	"FarnStim_vs_GeraStim_p.adj"	"FarnStim_vs_GeraUS_p.adj"	"FarnUS_vs_CntrStim_p.adj"	"FarnUS_vs_CntrUS_p.adj"	"FarnUS_vs_FarnStim_p.adj"	"FarnUS_vs_GeraStim_p.adj"	"FarnUS_vs_GeraUS_p.adj"	"GeraStim_vs_CntrStim_p.adj"	"GeraStim_vs_CntrUS_p.adj"	"GeraUS_vs_CntrStim_p.adj"	"GeraUS_vs_CntrUS_p.adj"	"GeraUS_vs_GeraStim_p.adj"	"CntrUS_vs_CntrStim_significant"	"FarnStim_vs_CntrStim_significant"	"FarnStim_vs_CntrUS_significant"	"FarnStim_vs_GeraStim_significant"	"FarnStim_vs_GeraUS_significant"	"FarnUS_vs_CntrStim_significant"	"FarnUS_vs_CntrUS_significant"	"FarnUS_vs_FarnStim_significant"	"FarnUS_vs_GeraStim_significant"	"FarnUS_vs_GeraUS_significant"	"GeraStim_vs_CntrStim_significant"	"GeraStim_vs_CntrUS_significant"	"GeraUS_vs_CntrStim_significant"	"GeraUS_vs_CntrUS_significant"	"GeraUS_vs_GeraStim_significant"	"significant"	"CntrUS_vs_CntrStim_ratio"	"FarnStim_vs_CntrStim_ratio"	"FarnStim_vs_CntrUS_ratio"	"FarnStim_vs_GeraStim_ratio"	"FarnStim_vs_GeraUS_ratio"	"FarnUS_vs_CntrStim_ratio"	"FarnUS_vs_CntrUS_ratio"	"FarnUS_vs_FarnStim_ratio"	"FarnUS_vs_GeraStim_ratio"	"FarnUS_vs_GeraUS_ratio"	"GeraStim_vs_CntrStim_ratio"	"GeraStim_vs_CntrUS_ratio"	"GeraUS_vs_CntrStim_ratio"	"GeraUS_vs_CntrUS_ratio"	"GeraUS_vs_GeraStim_ratio"	"CntrStim_centered"	"CntrUS_centered"	"FarnStim_centered"	"FarnUS_centered"	"GeraStim_centered"	"GeraUS_centered"
"ITGB2"	"P05107"	1.57676338396079e-06	3.08752481334676e-13	8.54342952529873e-08	2.30099445921411e-12	1.20263308558072e-16	1.67249865903108e-14	1.29317846226408e-09	0.0794409425707575	7.31832178521798e-11	1.36909548078609e-15	5.23160778607714e-20	4.26427303493429e-17	1.88001586669934e-22	3.76461790171939e-20	6.58226594875783e-07	0.025	2.62e-10	0.0305	0.00018	3.29e-08	3.54e-07	8.2e-07	0.712	0.0494	5.8e-07	2.83e-08	4.76e-05	1.31e-10	1.82e-09	0.00145	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.545	1.19	0.649	-1.09	-1.67	1.36	0.81	0.161	-0.931	-1.51	2.29	1.74	2.86	2.32	0.576	-1.37	-0.828	-0.18	-0.0187	0.912	1.49
"JAGN1"	"Q8N5M9"	0.000414182281611395	5.4670475222007e-08	0.00173337303096778	6.93280600168763e-06	5.53940634596694e-05	0.000107867489687921	0.611997028921519	0.00619258115299427	4.81003397229327e-09	2.99653165229545e-08	5.97719788919745e-13	1.53944178171634e-09	2.40749659770262e-12	9.08665259524812e-09	0.434714434439816	0.286	0.00285	0.658	0.329	0.592	0.482	0.895	0.344	0.177	0.144	0.0301	0.207	0.11	0.316	0.897	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1.49	2.78	1.29	-2.07	-1.77	1.68	0.189	-1.1	-3.16	-2.87	4.85	3.35	4.55	3.06	-0.292	-2.56	-1.07	0.221	-0.877	2.29	1.99
"KDELR2"	"P33947"	0.0144748093944659	3.01381138424771e-09	1.60517099750894e-06	0.000126481188811672	6.05908210780862e-06	2.72250742893785e-09	1.42857476934687e-06	0.963865034318118	0.000142640706285357	6.82319689757446e-06	4.63949083517552e-13	5.75187948268549e-11	6.87243393525208e-14	6.2253761951007e-12	0.25699407633806	0.684	0.000224	0.114	0.574	0.434	0.0185	0.00371	0.919	0.777	0.567	0.027	0.0948	0.0363	0.045	0.866	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	0.685	2.3	1.61	-1.18	-1.48	2.31	1.63	0.012	-1.16	-1.47	3.48	2.79	3.78	3.09	0.303	-2.09	-1.41	0.208	0.22	1.38	1.69
"KRAS"	"P01116"	0.0192465885647201	4.92929231409851e-21	4.86047470008149e-20	1.70793861413291e-19	8.69013950724857e-19	1.66428540261785e-22	1.23468631042223e-21	0.000350538929779712	3.67901433262464e-21	1.49794093518756e-20	0.000835769973325798	0.210898894344025	1.35411590426046e-05	0.008332745182259	0.127593739564661	0.712	4.64e-14	7.23e-14	1.35e-13	1.34e-12	7.13e-14	3.41e-14	0.0972	1.59e-13	9.65e-14	0.844	0.89	0.779	0.891	0.815	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.76	8.68	7.92	7.53	7.05	9.93	9.17	1.25	8.78	8.3	1.15	0.391	1.63	0.87	0.479	-3.69	-2.93	4.99	6.24	-2.54	-2.06
"LAMP2"	"P13473"	0.0177822671878858	3.45614796972034e-08	1.99454357723104e-05	9.92887297144183e-05	8.622411946973e-05	5.73687365564921e-08	3.48871382752219e-05	0.833019790908697	5.66886304334345e-05	4.92290288029571e-05	2.53599420941403e-12	3.46803348103944e-10	2.30307642576736e-12	3.10011968861787e-10	0.957650828555694	0.705	0.00198	0.262	0.555	0.62	0.0682	0.0379	0.911	0.741	0.703	0.0532	0.148	0.109	0.146	0.933	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	0.64	1.96	1.32	-1.16	-1.18	1.9	1.26	-0.0538	-1.22	-1.23	3.12	2.48	3.13	2.49	0.0136	-1.79	-1.15	0.165	0.111	1.33	1.34
"LAMTOR1"	"Q6IAA8"	0.017525473415889	4.42032680373117e-07	0.000318168392167843	0.00602332265925914	0.183926312204613	7.57874198790227e-07	0.000556897978513406	0.831459787875278	0.00355785723594569	0.126207062242644	4.4583466126771e-10	1.44022743848336e-07	1.64208867911026e-08	8.84838619917515e-06	0.115867477999317	0.703	0.013	0.513	0.805	0.903	0.166	0.165	0.911	0.869	0.939	0.208	0.406	0.505	0.717	0.806	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	1.63	4.29	2.66	-1.92	-0.876	4.15	2.53	-0.138	-2.06	-1.01	6.21	4.58	5.17	3.54	-1.04	-3.58	-1.95	0.716	0.578	2.64	1.59
"LAPTM5"	"Q13571"	0.0806670087469202	4.35749482507483e-08	4.01143579695002e-06	2.58927589767969e-06	1.02548881070536e-07	8.6587942959697e-09	6.85667472641322e-07	0.494709270237541	1.56213118254423e-05	5.65958033351473e-07	2.66855292880915e-13	6.55137213457796e-12	3.32632927756281e-14	6.51454575822284e-13	0.207899499852681	0.826	0.00238	0.16	0.258	0.192	0.0314	0.00199	0.881	0.679	0.359	0.0211	0.0496	0.0272	0.0173	0.852	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.837	3.52	2.68	-2.76	-3.35	3.83	3	0.319	-2.44	-3.03	6.27	5.44	6.87	6.03	0.594	-3.55	-2.72	-0.0388	0.28	2.72	3.31
"LCK"	"P06239"	0.000182521504940228	5.25234074983437e-07	0.0327045603317507	1.1362839383848e-06	1.5014448240232e-06	4.54274972359109e-07	0.0288289631460864	0.954152543016013	1.31677698886229e-06	1.74104874578971e-06	8.74347298707941e-13	5.0329635013801e-09	1.05846897735883e-12	6.44984983241187e-09	0.91355598167968	0.221	0.0145	0.832	0.212	0.33	0.143	0.635	0.918	0.528	0.455	0.0353	0.259	0.0879	0.293	0.931	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	1.01	1.53	0.522	-1.46	-1.44	1.55	0.536	0.0134	-1.45	-1.42	2.99	1.98	2.97	1.96	-0.0254	-1.68	-0.665	-0.143	-0.129	1.32	1.29
"LITAF"	"Q99732"	0.388544806431645	1.67628177055869e-11	3.27299552352643e-12	0.000117967820327645	0.0114538356342392	4.15963513520112e-09	6.1124302362479e-10	0.0132820023057654	1.29104744324934e-07	1.26076489066943e-05	8.20867064191063e-15	2.30261327045987e-15	1.36583977272014e-13	3.37387333565029e-14	0.0823316889594726	0.906	3.78e-07	8.39e-06	0.569	0.837	0.0224	2.48e-07	0.447	0.358	0.613	0.00398	0.00102	0.0465	0.00359	0.775	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.25	3.23	3.48	-1.29	-0.777	2.47	2.72	-0.759	-2.05	-1.54	4.52	4.77	4.01	4.26	-0.516	-2.33	-2.58	0.9	0.141	2.19	1.68
"LMF2"	"Q9BU23"	0.00047050533686346	2.50951444573278e-13	4.60104582540548e-10	1.59431709822066e-08	7.69549022587439e-09	3.29994929942501e-13	6.51016912395392e-10	0.87138344587262	1.09251699029492e-08	5.30970322284734e-09	4.0989054219744e-18	5.67631297977513e-16	2.87504063049025e-18	3.71611582671415e-16	0.75415568072908	0.296	1.71e-10	0.00117	0.0515	0.0942	1.6e-05	2.74e-07	0.914	0.213	0.0761	1.01e-05	0.000425	9.4e-05	0.000205	0.923	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	1.45	4.94	3.49	-2.91	-3.03	4.88	3.43	-0.0591	-2.97	-3.09	7.85	6.41	7.97	6.52	0.114	-4.51	-3.07	0.424	0.365	3.34	3.45
