"name"	"ID"	"CntrUS_vs_CntrStim_p.val"	"FarnStim_vs_CntrStim_p.val"	"FarnStim_vs_CntrUS_p.val"	"FarnStim_vs_GeraStim_p.val"	"FarnStim_vs_GeraUS_p.val"	"FarnUS_vs_CntrStim_p.val"	"FarnUS_vs_CntrUS_p.val"	"FarnUS_vs_FarnStim_p.val"	"FarnUS_vs_GeraStim_p.val"	"FarnUS_vs_GeraUS_p.val"	"GeraStim_vs_CntrStim_p.val"	"GeraStim_vs_CntrUS_p.val"	"GeraUS_vs_CntrStim_p.val"	"GeraUS_vs_CntrUS_p.val"	"GeraUS_vs_GeraStim_p.val"	"CntrUS_vs_CntrStim_p.adj"	"FarnStim_vs_CntrStim_p.adj"	"FarnStim_vs_CntrUS_p.adj"	"FarnStim_vs_GeraStim_p.adj"	"FarnStim_vs_GeraUS_p.adj"	"FarnUS_vs_CntrStim_p.adj"	"FarnUS_vs_CntrUS_p.adj"	"FarnUS_vs_FarnStim_p.adj"	"FarnUS_vs_GeraStim_p.adj"	"FarnUS_vs_GeraUS_p.adj"	"GeraStim_vs_CntrStim_p.adj"	"GeraStim_vs_CntrUS_p.adj"	"GeraUS_vs_CntrStim_p.adj"	"GeraUS_vs_CntrUS_p.adj"	"GeraUS_vs_GeraStim_p.adj"	"CntrUS_vs_CntrStim_significant"	"FarnStim_vs_CntrStim_significant"	"FarnStim_vs_CntrUS_significant"	"FarnStim_vs_GeraStim_significant"	"FarnStim_vs_GeraUS_significant"	"FarnUS_vs_CntrStim_significant"	"FarnUS_vs_CntrUS_significant"	"FarnUS_vs_FarnStim_significant"	"FarnUS_vs_GeraStim_significant"	"FarnUS_vs_GeraUS_significant"	"GeraStim_vs_CntrStim_significant"	"GeraStim_vs_CntrUS_significant"	"GeraUS_vs_CntrStim_significant"	"GeraUS_vs_CntrUS_significant"	"GeraUS_vs_GeraStim_significant"	"significant"	"CntrUS_vs_CntrStim_ratio"	"FarnStim_vs_CntrStim_ratio"	"FarnStim_vs_CntrUS_ratio"	"FarnStim_vs_GeraStim_ratio"	"FarnStim_vs_GeraUS_ratio"	"FarnUS_vs_CntrStim_ratio"	"FarnUS_vs_CntrUS_ratio"	"FarnUS_vs_FarnStim_ratio"	"FarnUS_vs_GeraStim_ratio"	"FarnUS_vs_GeraUS_ratio"	"GeraStim_vs_CntrStim_ratio"	"GeraStim_vs_CntrUS_ratio"	"GeraUS_vs_CntrStim_ratio"	"GeraUS_vs_CntrUS_ratio"	"GeraUS_vs_GeraStim_ratio"	"CntrStim_centered"	"CntrUS_centered"	"FarnStim_centered"	"FarnUS_centered"	"GeraStim_centered"	"GeraUS_centered"
"COMT"	"P21964"	0.241850965466722	3.13731144781084e-10	4.20255703588384e-09	5.92360581970324e-09	2.14005622383698e-08	7.51538435317756e-09	1.26609488834629e-07	0.157765014648111	2.52247064210283e-10	8.19237520431789e-10	2.51016756932156e-16	1.26165603854505e-15	5.26404150948326e-16	2.76606905706628e-15	0.581666982185344	0.886	1.91e-05	0.0052	0.0332	0.128	0.0295	0.000357	0.789	0.0759	0.0371	0.000477	0.000723	0.00408	0.000725	0.912	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.169	1.39	1.22	-1.2	-1.12	1.19	1.02	-0.205	-1.41	-1.33	2.59	2.42	2.51	2.34	-0.0788	-1.31	-1.14	0.0827	-0.123	1.28	1.2
"CYB561A3"	"Q8NBI2"	0.439382329134592	0.00012242402530481	1.55424376607953e-05	1.43108698719746e-09	1.89509447188477e-09	9.94453019513949e-05	1.26402653706808e-05	0.937610242443741	1.70097344459951e-09	2.25549168499512e-09	2.57048843774461e-13	7.13296405891687e-14	3.1863766001103e-13	8.76138463008575e-14	0.898912856571886	0.911	0.202	0.244	0.0155	0.0585	0.476	0.0206	0.918	0.132	0.0564	0.0207	0.00708	0.0623	0.00639	0.931	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	-0.253	1.45	1.7	-2.94	-2.9	1.48	1.73	0.0254	-2.91	-2.87	4.39	4.64	4.35	4.6	-0.0413	-1.9	-2.16	-0.451	-0.425	2.49	2.45
"CYB5B"	"O43169"	0.711517798911397	3.747576367916e-14	6.76141798098393e-14	0.036836164956431	0.0197604846018765	8.17174483810036e-14	1.4982780088658e-13	0.62662203522126	0.0994035598104101	0.0569552536326192	1.45284641313449e-12	2.83350770208826e-12	2.4079310129069e-12	4.74903506501861e-12	0.779003347339977	0.928	2.27e-12	3.73e-08	0.869	0.852	2.99e-06	3.41e-14	0.895	0.925	0.928	0.0433	0.036	0.11	0.0406	0.925	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	0.112	4.44	4.33	0.659	0.744	4.3	4.18	-0.147	0.511	0.596	3.78	3.67	3.7	3.59	-0.0849	-2.72	-2.61	1.72	1.57	1.06	0.977
"CYB5R3"	"P00387"	0.463516785978608	0.000194181456540864	2.74445642746246e-05	4.24553919652469e-12	5.11109762435362e-12	0.000758337794721254	0.000108591315492941	0.605495984577338	1.65462458260537e-12	1.98083118130412e-12	3.70356825549407e-15	1.29248123202185e-15	4.28614650058625e-15	1.48781412821826e-15	0.920253044133162	0.913	0.235	0.284	0.000299	0.00279	0.629	0.0736	0.893	0.00839	0.00124	0.00247	0.000734	0.0111	0.000498	0.932	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	-0.0891	0.52	0.609	-1.44	-1.43	0.457	0.546	-0.0626	-1.51	-1.49	1.96	2.05	1.95	2.04	-0.0121	-0.8	-0.889	-0.28	-0.343	1.16	1.15
"DHCR24"	"Q15392"	0.157459537304502	1.00333172034742e-08	4.07929798094915e-10	0.000279142788680183	0.0149788441522385	0.000155435264648086	3.44482377316559e-06	0.000709287902939271	1.68087217520772e-08	8.06682880011242e-07	1.98436349306227e-12	1.63950069779191e-13	3.93067949848699e-11	2.54625564430448e-12	0.122872546490221	0.865	0.00068	0.00107	0.633	0.845	0.511	0.0078	0.141	0.232	0.389	0.0487	0.0106	0.208	0.0314	0.811	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	-0.357	2.03	2.39	-1.03	-0.64	1.09	1.44	-0.944	-1.98	-1.58	3.06	3.42	2.67	3.03	-0.392	-1.42	-1.77	0.615	-0.329	1.65	1.25
"DNAJC5"	"Q9H3Z4"	0.284560653809678	9.96334681815102e-10	1.01621361469257e-10	0.000247180286146401	0.000853119192449204	1.37128112142544e-08	1.1840989483549e-09	0.25165727021833	1.13714999316859e-05	3.96605037570721e-05	3.04270894715816e-13	5.13725090728242e-14	6.84201253140473e-13	1.10117972201217e-13	0.637713210266167	0.893	6.89e-05	0.00034	0.624	0.742	0.0384	7.18e-07	0.831	0.662	0.69	0.0222	0.00613	0.0778	0.00725	0.916	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	-0.59	5.03	5.62	-2.3	-2.04	4.39	4.98	-0.634	-2.93	-2.67	7.32	7.91	7.07	7.66	-0.257	-3.87	-4.46	1.16	0.524	3.45	3.2
"DPAGT1"	"Q9H3H5"	0.0484522947902926	2.95741291731247e-11	2.16691781949749e-09	1.66803273652698e-07	8.61310515232306e-07	7.15389081056619e-06	0.00159411079970164	1.13353293987507e-05	1.86146799626322e-12	6.17178790769773e-12	3.46303364767168e-16	6.2188867763225e-15	8.41850992222127e-16	1.66590942287271e-14	0.515165683838058	0.79	8.69e-07	0.00335	0.122	0.299	0.292	0.252	0.00954	0.00895	0.00269	0.000581	0.00183	0.0051	0.00232	0.906	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	0.571	3.04	2.47	-1.95	-1.77	1.54	0.972	-1.49	-3.44	-3.26	4.99	4.42	4.81	4.23	-0.182	-2.49	-1.92	0.546	-0.948	2.5	2.32
"DPP4"	"P27487"	2.33223675355094e-05	5.30374016597523e-07	0.153491659688197	7.16150824743092e-07	2.27614982629852e-10	1.86692898397606e-09	0.000660875629339971	0.023898020215319	0.000366832247796468	4.75119422680137e-08	6.41850609595641e-13	2.01233930505226e-08	2.65942487941762e-15	1.23810473714821e-11	0.00168050309767828	0.101	0.0146	0.889	0.187	0.0242	0.0154	0.177	0.541	0.81	0.171	0.031	0.323	0.00878	0.0573	0.259	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	0.81	1.04	0.232	-1.02	-1.58	1.42	0.609	0.378	-0.645	-1.2	2.06	1.25	2.62	1.81	0.552	-1.33	-0.515	-0.284	0.0941	0.739	1.29
"EBP"	"Q15125"	0.000285207721351694	4.78657769161403e-09	0.00016590176477353	5.77684375603206e-07	6.11599097300551e-08	4.77163843601048e-09	0.000165298307137482	0.998903347201597	5.79698374207434e-07	6.13636805825667e-08	2.24998646858779e-14	3.18231472372107e-11	5.7074570669091e-15	5.60387851175076e-12	0.368522673914596	0.256	0.00035	0.451	0.176	0.168	0.0239	0.0917	0.921	0.469	0.187	0.00695	0.0812	0.0127	0.0433	0.888	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	1.09	2.22	1.14	-1.7	-1.94	2.22	1.14	0.000359	-1.7	-1.94	3.93	2.84	4.17	3.08	0.237	-2.27	-1.19	-0.0469	-0.0466	1.66	1.89
"ELOVL1"	"Q9BW60"	0.00149993366199043	2.50404431477831e-09	1.4318206159625e-05	6.19232460788382e-06	3.06031642590856e-06	3.72910636506484e-09	2.28793781089982e-05	0.859398367661236	3.89691367413407e-06	1.93386113184911e-06	6.09803763213817e-14	3.15881147651821e-11	3.96679342822904e-14	1.86434535835609e-11	0.7872681055555	0.414	0.000186	0.239	0.319	0.383	0.0213	0.0298	0.913	0.599	0.464	0.0113	0.0811	0.0293	0.0655	0.925	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	1.37	3.43	2.06	-2.18	-2.29	3.36	1.99	-0.069	-2.25	-2.35	5.61	4.24	5.71	4.34	0.105	-3.25	-1.88	0.181	0.112	2.36	2.47
